"","geography","geography_id","state_name","district_name","area","perimeter","max_distance_from_center","Schwartzberg","Redistrict","Gov_Veto","Notes","Geog","AreaDist","AreaConPol","ConvexHull","Upper_Senate","Lower_House","Governor","Overall"
"33","district",5102,"Virginia",2,0.739054363,0.112535842,0.015252752,0.27080224468543,"State Legislature","Yes",NA,"district",1543.762116,4455.726131,0.346467011,"Republican","Republican","Democrat","Republican"
"34","district",5000,"Vermont",0,2.800773444,0.150051802,0.024449673,0.395369084130714,NA,NA,NA,"district",9627.593507,11596.33987,0.830226918,"Democrat","Democrat","Republican","Democrat"
"35","district",4901,"Utah",1,5.780322949,0.243577461,0.040192461,0.349899953284528,"State Legislature","Yes",NA,"district",20800.79667,30759.62803,0.676236938,"Republican","Republican","Republican","Republican"
"36","district",4902,"Utah",2,11.13031631,0.309932979,0.043982851,0.381584648842536,"State Legislature","Yes",NA,"district",41149.50796,50216.1698,0.819447364,"Republican","Republican","Republican","Republican"
"37","district",4903,"Utah",3,5.441776408,0.290491674,0.041557552,0.284669926677868,"State Legislature","Yes",NA,"district",20252.67663,32037.65963,0.632152188,"Republican","Republican","Republican","Republican"
"38","district",4904,"Utah",4,0.768876126,0.102673952,0.014799094,0.302742115497269,"State Legislature","Yes",NA,"district",2699.49916,4189.73512,0.644312608,"Republican","Republican","Republican","Republican"
"39","district",4804,"Texas",4,2.636367456,0.20964834,0.025139035,0.274546856177892,"State Legislature","Yes",NA,"district",10542.04188,13379.55201,0.787921889,"Republican","Republican","Republican","Republican"
"40","district",4808,"Texas",8,1.522300561,0.142632173,0.014539154,0.306646235142368,"State Legislature","Yes",NA,"district",6218.260833,7364.912298,0.844308877,"Republican","Republican","Republican","Republican"
"41","district",4827,"Texas",27,2.607318278,0.239058761,0.026898141,0.239440324439092,"State Legislature","Yes",NA,"district",10388.84034,17079.18757,0.608274855,"Republican","Republican","Republican","Republican"
"42","district",4834,"Texas",34,2.242967412,0.262077974,0.03540161,0.202575020314504,"State Legislature","Yes",NA,"district",9099.566563,16202.20394,0.561625233,"Republican","Republican","Republican","Republican"
"43","district",4825,"Texas",25,1.905038938,0.219066689,0.028085806,0.223347201967444,"State Legislature","Yes",NA,"district",7754.034855,12749.77028,0.608170554,"Republican","Republican","Republican","Republican"
"44","district",4821,"Texas",21,1.447977929,0.158525975,0.019470065,0.269082509992316,"State Legislature","Yes",NA,"district",5920.488608,7624.438242,0.776514731,"Republican","Republican","Republican","Republican"
"45","district",4828,"Texas",28,2.258419103,0.254985645,0.031837666,0.208925509443226,"State Legislature","Yes",NA,"district",9506.564353,18970.01231,0.501136436,"Republican","Republican","Republican","Republican"
"46","district",4836,"Texas",36,1.845395412,0.166478974,0.018841959,0.289261250658807,"State Legislature","Yes",NA,"district",7594.021025,9655.576443,0.786490695,"Republican","Republican","Republican","Republican"
"47","district",4806,"Texas",6,0.555333761,0.088967125,0.012875727,0.296928862105237,"State Legislature","Yes",NA,"district",2242.078041,2899.916437,0.773152637,"Republican","Republican","Republican","Republican"
"48","district",4810,"Texas",10,1.244015613,0.166334162,0.02205506,0.237703946922516,"State Legislature","Yes",NA,"district",5138.79252,7054.546558,0.72843697,"Republican","Republican","Republican","Republican"
"49","district",4811,"Texas",11,6.953106269,0.340731548,0.046307428,0.274335505494558,"State Legislature","Yes",NA,"district",28065.40915,45547.7252,0.616175869,"Republican","Republican","Republican","Republican"
"50","district",4819,"Texas",19,6.498363013,0.271931936,0.041307125,0.332312518284933,"State Legislature","Yes",NA,"district",25944.10267,36745.15398,0.706055081,"Republican","Republican","Republican","Republican"
"51","district",4817,"Texas",17,1.899012779,0.186982564,0.021194044,0.261256897322378,"State Legislature","Yes",NA,"district",7756.499828,11516.50521,0.673511598,"Republican","Republican","Republican","Republican"
"52","district",4823,"Texas",23,14.13505208,0.485266859,0.06620724,0.274645827855274,"State Legislature","Yes",NA,"district",58340.61788,79951.58388,0.729699339,"Republican","Republican","Republican","Republican"
"53","district",4813,"Texas",13,9.878729373,0.351355218,0.058658825,0.317109365325156,"State Legislature","Yes",NA,"district",38641.83808,57495.27611,0.672087182,"Republican","Republican","Republican","Republican"
"54","district",4801,"Texas",1,2.060328429,0.169685122,0.020196173,0.299867496948703,"State Legislature","Yes",NA,"district",8265.70851,10645.72651,0.776434422,"Republican","Republican","Republican","Republican"
"55","district",4815,"Texas",15,1.867182296,0.239372971,0.036931273,0.202359306481611,"State Legislature","Yes",NA,"district",7874.37167,15076.78329,0.522284596,"Republican","Republican","Republican","Republican"
"56","district",4805,"Texas",5,1.292224888,0.163024957,0.018960523,0.247183733892126,"State Legislature","Yes",NA,"district",5215.681364,7645.453387,0.682193861,"Republican","Republican","Republican","Republican"
"57","district",4824,"Texas",24,0.069841642,0.027692886,0.0040033,0.338293719230468,"State Legislature","Yes",NA,"district",272.3613752,343.0299562,0.793987144,"Republican","Republican","Republican","Republican"
"58","district",4833,"Texas",33,0.056398671,0.049813614,0.004671909,0.169001794465068,"State Legislature","Yes",NA,"district",224.0146558,470.9812925,0.475633872,"Republican","Republican","Republican","Republican"
"59","district",4812,"Texas",12,0.359251807,0.066925225,0.007594726,0.317478684939903,"State Legislature","Yes",NA,"district",1481.54568,1915.120523,0.773604409,"Republican","Republican","Republican","Republican"
"60","district",4826,"Texas",26,0.252326108,0.039228316,0.006298596,0.453927361316527,"State Legislature","Yes",NA,"district",978.7277736,1064.880396,0.919096433,"Republican","Republican","Republican","Republican"
"61","district",4820,"Texas",20,0.05145413,0.032238126,0.003195715,0.249428033863441,"State Legislature","Yes",NA,"district",195.1448852,277.3594377,0.703581197,"Republican","Republican","Republican","Republican"
"62","district",4835,"Texas",35,0.143237172,0.098344953,0.01404447,0.136420841424,"State Legislature","Yes",NA,"district",614.1726832,1612.549802,0.380870521,"Republican","Republican","Republican","Republican"
"63","district",4814,"Texas",14,0.821257357,0.137912075,0.018194946,0.232939037005823,"State Legislature","Yes",NA,"district",2996.398506,5229.438334,0.572986679,"Republican","Republican","Republican","Republican"
"64","district",4831,"Texas",31,0.539264003,0.073526697,0.008780525,0.354046732612696,"State Legislature","Yes",NA,"district",2215.782698,2691.342638,0.823300113,"Republican","Republican","Republican","Republican"
"65","district",4816,"Texas",16,0.181866399,0.0313521,0.005754798,0.48218592612993,"State Legislature","Yes",NA,"district",709.649187,731.1290545,0.970620963,"Republican","Republican","Republican","Republican"
"66","district",4822,"Texas",22,0.257425166,0.081919638,0.008752869,0.219554533056396,"State Legislature","Yes",NA,"district",1057.833785,1478.667796,0.715396513,"Republican","Republican","Republican","Republican"
"67","district",4809,"Texas",9,0.038320193,0.030054673,0.003468611,0.230890874560416,"State Legislature","Yes",NA,"district",169.7130382,268.4669125,0.632156256,"Republican","Republican","Republican","Republican"
"68","district",4829,"Texas",29,0.046664106,0.037800461,0.003815322,0.202581279883476,"State Legislature","Yes",NA,"district",201.698875,295.0339145,0.683646405,"Republican","Republican","Republican","Republican"
"69","district",4807,"Texas",7,0.041410531,0.02893872,0.003575997,0.249276313857797,"State Legislature","Yes",NA,"district",164.7674184,288.1261992,0.571858508,"Republican","Republican","Republican","Republican"
"70","district",4818,"Texas",18,0.056862222,0.04168032,0.003868817,0.202808335503317,"State Legislature","Yes",NA,"district",232.3430104,363.2693844,0.639588747,"Republican","Republican","Republican","Republican"
"71","district",4802,"Texas",2,0.080657825,0.055206291,0.005692039,0.182364212284829,"State Legislature","Yes",NA,"district",334.5239998,772.5887639,0.432991024,"Republican","Republican","Republican","Republican"
"72","district",4832,"Texas",32,0.04944541,0.033251906,0.003506336,0.23705623312657,"State Legislature","Yes",NA,"district",193.356297,308.4320231,0.626900849,"Republican","Republican","Republican","Republican"
"73","district",4803,"Texas",3,0.127785482,0.031082091,0.004607969,0.407695072149342,"State Legislature","Yes",NA,"district",522.266893,590.7988415,0.884001214,"Republican","Republican","Republican","Republican"
"74","district",4830,"Texas",30,0.092092076,0.037972387,0.004328488,0.283301037663847,"State Legislature","Yes",NA,"district",365.4821395,481.1349213,0.759625052,"Republican","Republican","Republican","Republican"
"75","district",4704,"Tennessee",4,1.567419498,0.186760071,0.019656556,0.237636706175045,"State Legislature","Yes",NA,"district",6095.263482,8830.71984,0.690234046,"Republican","Republican","Republican","Republican"
"76","district",4702,"Tennessee",2,0.632437698,0.13203142,0.012936739,0.213518992954721,"State Legislature","Yes",NA,"district",2439.936477,4384.473571,0.556494739,"Republican","Republican","Republican","Republican"
"77","district",4708,"Tennessee",8,1.809856524,0.155848217,0.018359356,0.306002636097914,"State Legislature","Yes",NA,"district",6974.852948,8459.415219,0.824507696,"Republican","Republican","Republican","Republican"
"78","district",4706,"Tennessee",6,1.714519593,0.147986584,0.020454438,0.313656153951776,"State Legislature","Yes",NA,"district",6609.499136,9266.837084,0.713242186,"Republican","Republican","Republican","Republican"
"79","district",4701,"Tennessee",1,1.092898079,0.130380686,0.017656359,0.284237583037222,"State Legislature","Yes",NA,"district",4241.14679,5484.893683,0.773241385,"Republican","Republican","Republican","Republican"
"80","district",4705,"Tennessee",5,0.331438764,0.06385039,0.007943601,0.319626683188982,"State Legislature","Yes",NA,"district",1274.974212,1604.211447,0.794766933,"Republican","Republican","Republican","Republican"
"81","district",4707,"Tennessee",7,2.392848812,0.185945486,0.022673011,0.294901459385484,"State Legislature","Yes",NA,"district",9327.858728,12951.73588,0.720201432,"Republican","Republican","Republican","Republican"
"82","district",4703,"Tennessee",3,1.216975154,0.180797648,0.019442177,0.216298252841244,"State Legislature","Yes",NA,"district",4677.869241,7625.326301,0.613464796,"Republican","Republican","Republican","Republican"
