State,District,Gerrymander Index
Florida,21.0,3.173
Connecticut,4.0,3.171
Georgia,10.0,3.163
Texas,13.0,3.153
Texas,12.0,3.15
Florida,15.0,3.149
Alabama,5.0,3.146
Georgia,7.0,3.138
California,29.0,3.131
Tennessee,5.0,3.129
Ohio,9.0,3.126
Massachusetts,9.0,3.123
California,44.0,3.123
California,40.0,3.122
Pennsylvania,5.0,3.116
Maryland,5.0,3.113
Illinois,16.0,3.112
Washington,9.0,3.109
New York,19.0,3.084
Washington,10.0,3.074
Massachusetts,2.0,3.06
California,4.0,3.053
Georgia,3.0,3.052
Washington,1.0,3.049
Ohio,8.0,3.045
New Jersey,2.0,3.043
South Carolina,3.0,3.04
Pennsylvania,8.0,3.039
Louisiana,3.0,3.039
Oklahoma,3.0,3.035
California,11.0,3.029
Virginia,8.0,3.028
South Carolina,4.0,3.026
Maine,2.0,3.022
California,50.0,3.018
New York,5.0,3.018
Texas,19.0,3.009
Florida,25.0,3.003
Michigan,3.0,3.0
Washington,3.0,3.0
Oregon,1.0,2.998
New Mexico,1.0,2.988
New York,18.0,2.982
Georgia,2.0,2.974
Missouri,2.0,2.967
Rhode Island,2.0,2.96
Arkansas,4.0,2.956
Texas,24.0,2.956
California,18.0,2.945
Massachusetts,6.0,2.94
Wisconsin,7.0,2.928
Missouri,1.0,2.926
Georgia,9.0,2.916
California,12.0,2.909
Minnesota,7.0,2.906
Iowa,1.0,2.903
Nevada,3.0,2.902
California,1.0,2.897
Georgia,14.0,2.895
Georgia,4.0,2.895
Florida,9.0,2.892
Florida,11.0,2.889
Georgia,11.0,2.883
California,38.0,2.881
California,39.0,2.875
Missouri,8.0,2.871
Idaho,2.0,2.869
Utah,1.0,2.858
Arizona,6.0,2.847
California,43.0,2.842
Nebraska,1.0,2.839
Texas,31.0,2.824
Wisconsin,6.0,2.811
Hawaii,1.0,2.81
California,27.0,2.808
New York,14.0,2.802
Florida,3.0,2.797
Michigan,9.0,2.796
Washington,2.0,2.794
Iowa,2.0,2.791
Michigan,7.0,2.79
Massachusetts,1.0,2.785
California,17.0,2.785
Florida,2.0,2.784
California,15.0,2.777
Florida,17.0,2.765
California,45.0,2.763
Minnesota,2.0,2.76
Mississippi,1.0,2.757
New York,23.0,2.733
Indiana,9.0,2.73
Ohio,5.0,2.713
Kentucky,3.0,2.713
Florida,8.0,2.709
Kansas,2.0,2.701
Florida,27.0,2.693
New York,20.0,2.687
Colorado,3.0,2.676
New York,27.0,2.657
Pennsylvania,4.0,2.647
Minnesota,1.0,2.646
Wisconsin,8.0,2.632
Florida,1.0,2.624
New York,13.0,2.624
Utah,2.0,2.621
California,36.0,2.617
Minnesota,3.0,2.614
Mississippi,4.0,2.605
Illinois,2.0,2.598
Florida,13.0,2.582
New York,17.0,2.567
Oregon,4.0,2.563
Colorado,5.0,2.561
California,9.0,2.561
Michigan,8.0,2.556
Minnesota,8.0,2.555
Nebraska,3.0,2.554
Florida,12.0,2.554
New York,6.0,2.548
New York,16.0,2.541
New Mexico,3.0,2.54
Arizona,7.0,2.534
Colorado,4.0,2.531
Delaware,0.0,2.531
Florida,16.0,2.53
Vermont,0.0,2.529
California,20.0,2.522
Indiana,5.0,2.52
Wisconsin,5.0,2.51
Georgia,5.0,2.495
Wisconsin,1.0,2.494
Ohio,10.0,2.492
New Mexico,2.0,2.49
Michigan,1.0,2.473
Nebraska,2.0,2.458
Florida,18.0,2.457
Texas,3.0,2.453
Kansas,4.0,2.448
New York,11.0,2.434
New York,2.0,2.43
Ohio,14.0,2.429
California,46.0,2.427
Pennsylvania,2.0,2.411
New York,1.0,2.39
Kansas,1.0,2.369
Nevada,4.0,2.365
Iowa,4.0,2.363
Michigan,4.0,2.358
Washington,6.0,2.351
Missouri,7.0,2.349
Indiana,4.0,2.349
Connecticut,2.0,2.344
Indiana,6.0,2.341
Arizona,2.0,2.34
Iowa,3.0,2.33
New York,21.0,2.328
California,7.0,2.319
Washington,5.0,2.311
New York,4.0,2.31
California,37.0,2.309
New York,26.0,2.307
New York,24.0,2.306
Oregon,2.0,2.305
Michigan,2.0,2.297
New York,3.0,2.29
Kansas,3.0,2.265
Indiana,2.0,2.256
Michigan,10.0,2.241
Wisconsin,2.0,2.233
Texas,26.0,2.203
Minnesota,5.0,2.195
Montana,0.0,2.174
California,13.0,2.168
Nevada,1.0,2.15
Indiana,1.0,2.141
Indiana,3.0,2.125
New York,25.0,2.104
New York,12.0,2.103
Minnesota,4.0,2.092
Wisconsin,4.0,2.087
Texas,16.0,2.074
South Dakota,0.0,2.063
New York,15.0,2.048
Indiana,7.0,2.047
Michigan,6.0,2.044
Nevada,2.0,2.041
Arizona,5.0,1.97
North Dakota,0.0,1.853
Wyoming,0.0,1.702
