"","geography","geography_id","state_name","district_name","area","perimeter","max_distance_from_center","id","Schwartzberg"
"64","district",4831,"Texas",31,0.539264003,0.073526697,0.008780525,72,35.4046732612696
"65","district",4816,"Texas",16,0.181866399,0.0313521,0.005754798,73,48.218592612993
"66","district",4822,"Texas",22,0.257425166,0.081919638,0.008752869,74,21.9554533056396
"67","district",4809,"Texas",9,0.038320193,0.030054673,0.003468611,75,23.0890874560416
"68","district",4829,"Texas",29,0.046664106,0.037800461,0.003815322,76,20.2581279883476
"69","district",4807,"Texas",7,0.041410531,0.02893872,0.003575997,77,24.9276313857797
"70","district",4818,"Texas",18,0.056862222,0.04168032,0.003868817,78,20.2808335503317
"71","district",4802,"Texas",2,0.080657825,0.055206291,0.005692039,79,18.2364212284829
"72","district",4832,"Texas",32,0.04944541,0.033251906,0.003506336,80,23.705623312657
"73","district",4803,"Texas",3,0.127785482,0.031082091,0.004607969,81,40.7695072149342
"74","district",4830,"Texas",30,0.092092076,0.037972387,0.004328488,82,28.3301037663847
"75","district",4704,"Tennessee",4,1.567419498,0.186760071,0.019656556,84,23.7636706175045
"76","district",4702,"Tennessee",2,0.632437698,0.13203142,0.012936739,85,21.3518992954721
"77","district",4708,"Tennessee",8,1.809856524,0.155848217,0.018359356,86,30.6002636097914
"78","district",4706,"Tennessee",6,1.714519593,0.147986584,0.020454438,87,31.3656153951776
"79","district",4701,"Tennessee",1,1.092898079,0.130380686,0.017656359,88,28.4237583037222
"80","district",4705,"Tennessee",5,0.331438764,0.06385039,0.007943601,89,31.9626683188982
"81","district",4707,"Tennessee",7,2.392848812,0.185945486,0.022673011,90,29.4901459385484
"82","district",4703,"Tennessee",3,1.216975154,0.180797648,0.019442177,91,21.6298252841244
"83","district",4709,"Tennessee",9,0.129330651,0.045945631,0.005432818,92,27.7467067043689
"84","district",4600,"South Dakota",0,22.58619975,0.347555737,0.058604895,94,48.4732403685284
"85","district",4504,"South Carolina",4,0.336074271,0.06217641,0.008680391,96,33.0519374282896
"86","district",4503,"South Carolina",3,1.388952471,0.126988842,0.016210268,97,32.8990275853351
"87","district",4507,"South Carolina",7,1.445660176,0.136146447,0.01974097,98,31.3062989942863
"88","district",4505,"South Carolina",5,1.429126867,0.152330795,0.018462461,99,27.8197110780134
