geography,geography_id,state_name,district_name,area,perimeter,max_distance_from_center,id
district,4707.0,Tennessee,7.0,2.392848812,0.185945486,0.022673011,90
district,4703.0,Tennessee,3.0,1.216975154,0.180797648,0.019442177,91
district,4709.0,Tennessee,9.0,0.129330651,0.045945631,0.005432818,92
state,46.0,South Dakota,,22.56166354,0.311654245,0.05876903,93
district,4600.0,South Dakota,0.0,22.58619975,0.347555737,0.058604895,94
state,45.0,South Carolina,,7.7628409,0.255035146,0.037947009,95
district,4504.0,South Carolina,4.0,0.336074271,0.06217641,0.008680391,96
district,4503.0,South Carolina,3.0,1.388952471,0.126988842,0.016210268,97
district,4507.0,South Carolina,7.0,1.445660176,0.136146447,0.01974097,98
district,4505.0,South Carolina,5.0,1.429126867,0.152330795,0.018462461,99
district,4501.0,South Carolina,1.0,0.59736236,0.151279367,0.015951641,100
district,4506.0,South Carolina,6.0,2.101275409,0.286667853,0.021424697,101
district,4502.0,South Carolina,2.0,0.785409435,0.126665524,0.013748562,102
state,44.0,Rhode Island,,0.290548617,0.054591586,0.00762984,103
district,4401.0,Rhode Island,1.0,0.14586396,0.043645327,0.007474307,104
district,4402.0,Rhode Island,2.0,0.293582122,0.056850541,0.008330743,105
state,42.0,Pennsylvania,,12.52727526,0.236169915,0.04273139,106
district,4206.0,Pennsylvania,6.0,0.239037654,0.093898102,0.009041649,107
district,4216.0,Pennsylvania,16.0,0.288328547,0.080957778,0.008048206,108
district,4215.0,Pennsylvania,15.0,0.357706638,0.091479678,0.012811119,109
district,4209.0,Pennsylvania,9.0,1.580862469,0.193084589,0.01994241,110
district,4201.0,Pennsylvania,1.0,0.022868502,0.026871338,0.004035993,111
district,4207.0,Pennsylvania,7.0,0.239346688,0.126705791,0.008224396,112
district,4217.0,Pennsylvania,17.0,0.481783714,0.145877659,0.012835869,113
district,4218.0,Pennsylvania,18.0,0.573721273,0.104161998,0.012700888,114
district,4214.0,Pennsylvania,14.0,0.062115796,0.038097597,0.004327375,115
district,4212.0,Pennsylvania,12.0,0.601379799,0.140516268,0.016076927,116
district,4210.0,Pennsylvania,10.0,2.368744174,0.235095713,0.02519523,117
district,4211.0,Pennsylvania,11.0,0.952133177,0.159983987,0.021265803,118
district,4203.0,Pennsylvania,3.0,1.309839815,0.135259612,0.019513194,119
district,4205.0,Pennsylvania,5.0,2.998864118,0.191307151,0.024428799,120
district,4204.0,Pennsylvania,4.0,0.421522121,0.060914674,0.009569975,121
district,4208.0,Pennsylvania,8.0,0.198708742,0.048022383,0.006750296,122
