"","district","compactness"
"247","ND-0",0.6447
"248","NE-1",0.3577
"249","NE-2",0.606
"250","NE-3",0.3408
"251","NH-1",0.2344
"252","NH-2",0.2155
"253","NJ-1",0.369
"254","NJ-2",0.346
"255","NJ-3",0.3645
"256","NJ-4",0.3684
"257","NJ-5",0.2808
"258","NJ-6",0.1513
"259","NJ-7",0.3264
"260","NJ-8",0.1673
"261","NJ-9",0.2889
"262","NJ-10",0.252
"263","NJ-11",0.3318
"264","NJ-12",0.2801
"265","NM-1",0.2973
"266","NM-2",0.4272
"267","NM-3",0.3883
"268","NV-1",0.6292
"269","NV-2",0.5711
"270","NV-3",0.5081
"271","NV-4",0.5563
"272","NY-1",0.1913
"273","NY-2",0.4967
"274","NY-3",0.4752
"275","NY-4",0.6326
"276","NY-5",0.7114
"277","NY-6",0.4784
"278","NY-7",0.3539
"279","NY-8",0.2321
"280","NY-9",0.7426
"281","NY-10",0.3893
"282","NY-11",0.4048
"283","NY-12",0.7146
"284","NY-13",0.4736
"285","NY-14",0.3582
"286","NY-15",0.7826
"287","NY-16",0.4553
"288","NY-17",0.5716
"289","NY-18",0.3817
"290","NY-19",0.369
"291","NY-20",0.436
"292","NY-21",0.5091
"293","NY-22",0.2844
"294","NY-23",0.3211
"295","NY-24",0.4569
"296","NY-25",0.5756
"297","NY-26",0.4841
"298","NY-27",0.3608
"299","OH-1",0.2323
"300","OH-2",0.354
"301","OH-3",0.2485
"302","OH-4",0.1679
"303","OH-5",0.3522
"304","OH-6",0.1863
"305","OH-7",0.1692
"306","OH-8",0.2911
"307","OH-9",0.0869
"308","OH-10",0.3964
"309","OH-11",0.1693
"310","OH-12",0.1982
"311","OH-13",0.1584
"312","OH-14",0.388
"313","OH-15",0.2124
"314","OH-16",0.1828
"315","OK-1",0.2454
"316","OK-2",0.3768
"317","OK-3",0.2704
"318","OK-4",0.339
"319","OK-5",0.3143
"320","OR-1",0.321
"321","OR-2",0.5293
"322","OR-3",0.3473
"323","OR-4",0.5261
"324","OR-5",0.181
"325","PA-1",0.199
"326","PA-2",0.6017
"327","PA-3",0.2937
